x,y,z
-1.52,3.94,110.17
-1.21,-2.12,106.1
-1.21,-2.12,106.1
-1.21,-2.12,106.1
-1.21,-6.36,102.37
-1.21,-6.36,102.37
-1.21,-6.36,102.37
-1.21,-6.36,102.37
-0.91,-9.09,98.64
-0.91,-9.09,98.64
-0.91,-9.09,98.64
-0.61,-10.3,96.27
-0.61,-10.3,96.27
-0.61,-10.3,96.27
-0.3,-10.61,94.58
-0.3,-10.61,94.58
-0.3,-10.61,94.58
0,-11.21,93.22
0,-11.21,93.22
0,-11.21,93.22
0,-11.21,90.85
0,-11.21,90.85
0,-11.21,90.85
0,-11.21,90.85
0,-11.52,89.15
0,-11.52,89.15
0,-11.52,89.15
-0.3,-11.52,87.46
-0.3,-11.52,87.46
-0.3,-11.52,87.46
0,-11.82,85.42
0,-11.82,85.42
0,-11.82,85.42
0.3,-11.82,83.39
0.3,-11.82,83.39
0.3,-11.82,83.39
0.3,-11.82,83.39
0.3,-12.12,81.69
0.3,-12.12,81.69
0.3,-12.12,81.69
0.61,-13.03,80
0.61,-13.03,80
0.61,-13.03,80
0.91,-13.03,79.66
0.91,-13.03,79.66
0.91,-13.03,79.66
0.91,-13.03,79.66
0.3,-12.73,79.66
0.3,-12.73,79.66
0.3,-12.73,79.66
0.61,-12.73,79.32
0.61,-12.73,79.32
0.61,-12.73,79.32
0.61,-12.73,79.32
0.61,-12.73,79.32
0.61,-12.73,79.32
0.61,-12.73,78.98
0.61,-12.73,78.98
0.61,-12.73,78.98
0.61,-12.73,78.98
0.61,-13.03,78.31
0.61,-13.03,78.31
0.61,-13.03,78.31
0.3,-13.33,77.29
0.3,-13.33,77.29
0.3,-13.33,77.29
0.91,-13.03,76.27
0.91,-13.03,76.27
0.91,-13.03,76.27
0.91,-13.03,76.27
0.91,-13.33,76.27
0.91,-13.33,76.27
0.91,-13.33,76.27
0.61,-13.03,75.93
0.61,-13.03,75.93
0.61,-13.03,75.93
0.91,-13.03,74.92
0.91,-13.03,74.92
0.91,-13.03,74.92
0.61,-13.03,74.58
0.61,-13.03,74.58
0.61,-13.03,74.58
0.61,-13.03,74.58
0.61,-12.73,74.58
0.61,-12.73,74.58
0.61,-12.73,74.58
0.61,-13.03,74.24
0.61,-13.03,74.24
0.61,-13.03,74.24
0.61,-12.73,74.58
0.61,-12.73,74.58
0.61,-12.73,74.58
0.61,-12.73,74.58
0.61,-12.73,74.24
0.61,-12.73,74.24
0.61,-12.73,74.24
0.61,-13.03,74.58
0.61,-13.03,74.58
0.61,-13.03,74.58
0.61,-13.03,74.24
0.61,-13.03,74.24
0.61,-13.03,74.24
0,-13.03,73.9
0,-13.03,73.9
0,-13.03,73.9
0,-13.03,73.9
0.3,-13.33,74.24
0.3,-13.33,74.24
0.3,-13.33,74.24
0.3,-13.03,74.58
0.3,-13.03,74.58
0.3,-13.03,74.58
0.3,-13.33,74.24
0.3,-13.33,74.24
0.3,-13.33,74.24
0.3,-13.33,74.24
0.61,-13.03,74.24
0.61,-13.03,74.24
0.61,-13.03,74.24
0.61,-13.03,75.25
0.61,-13.03,75.25
0.61,-13.03,75.25
0.3,-13.33,74.92
0.3,-13.33,74.92
0.3,-13.33,74.92
0.3,-13.33,74.92
0.3,-13.33,74.92
0.3,-13.33,74.92
0.3,-13.33,74.92
0,-13.33,76.27
0,-13.33,76.27
0,-13.33,76.27
0.61,-13.03,76.95
0.61,-13.03,76.95
0.61,-13.03,76.95
0.61,-13.33,77.63
0.61,-13.33,77.63
0.61,-13.33,77.63
0.61,-13.33,77.63
-0.3,-13.64,78.31
-0.3,-13.64,78.31
-0.3,-13.64,78.31
-0.3,-13.33,79.32
-0.3,-13.33,79.32
-0.3,-13.33,79.32
-0.3,-13.94,81.02
-0.3,-13.94,81.02
-0.3,-13.94,81.02
-0.61,-13.94,83.39
-0.61,-13.94,83.39
-0.61,-13.94,83.39
-0.3,-13.94,84.07
-0.3,-13.94,84.07
-0.3,-13.94,84.07
-0.3,-14.85,85.42
-0.3,-14.85,85.42
-0.3,-14.85,85.42
-0.61,-15.15,86.1
-0.61,-15.15,86.1
-0.61,-15.15,86.1
-0.61,-15.15,86.1
-0.3,-16.06,88.14
